gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0069	2.0029	2.0044
1	2.0069	2.0034	2.0050
2	2.0085	2.0024	2.0056
3	2.0110	2.0030	2.0065
4	2.0125	1.9907	2.0078
5	2.0145	1.9789	2.0091
6	2.0149	1.9632	2.0103
7	2.0149	1.9070	2.0112
8	2.0155	1.8967	2.0127
9	2.0199	1.8741	2.0141
10	2.0205	1.8945	2.0155
11	2.0282	1.8625	2.0167
12	2.0296	1.8457	2.0183
13	2.0296	1.8567	2.0191
14	2.0296	1.8342	2.0199
15	2.0299	1.8856	2.0211
16	2.0299	1.9040	2.0224
17	2.0299	1.8620	2.0236
18	2.0299	1.8694	2.0248
19	2.0353	1.8813	2.0263
20	2.0353	1.8570	2.0271
21	2.0353	1.8817	2.0274
22	2.0554	1.8879	2.0289
23	2.0554	1.8748	2.0308
24	2.0554	1.8748	2.0313
25	2.0554	1.8718	2.0319
26	2.0554	1.8731	2.0335
27	2.0554	1.8317	2.0354
28	2.0554	1.8624	2.0372
29	2.0554	1.8935	2.0381
30	2.0558	1.8915	2.0398
31	2.0561	1.8759	2.0412
32	2.0580	1.8997	2.0428
33	2.0580	1.8677	2.0438
34	2.0598	1.8897	2.0449
35	2.0598	1.8545	2.0460
36	2.0598	1.8943	2.0473
37	2.0599	1.8725	2.0484
38	2.0743	1.8872	2.0502
39	2.0743	1.8915	2.0512
40	2.0743	1.9029	2.0529
41	2.0743	1.9186	2.0541
42	2.0743	1.9082	2.0556
43	2.0743	1.9397	2.0579
44	2.0743	1.9343	2.0591
45	2.0743	1.9374	2.0599
46	2.0743	1.9318	2.0616
47	2.0743	1.9411	2.0636
48	2.0771	1.9558	2.0653
49	2.0796	1.9653	2.0667
50	2.0796	1.9561	2.0673
51	2.0796	1.9758	2.0690
52	2.0840	1.9689	2.0703
53	2.0840	1.9803	2.0716
54	2.0840	1.9772	2.0725
55	2.0840	1.9863	2.0735
56	2.0840	1.9822	2.0744
57	2.0877	1.9825	2.0751
58	2.0877	1.9927	2.0768
59	2.0877	1.9818	2.0778
60	2.0877	1.9882	2.0784
61	2.0877	2.0015	2.0787
62	2.0877	1.9952	2.0788
63	2.0877	1.9925	2.0789
64	2.0879	2.0024	2.0792
65	2.0879	2.0062	2.0795
66	2.0879	1.9862	2.0799
67	2.0923	2.0047	2.0806
68	2.0923	1.9941	2.0808
69	2.0999	2.0113	2.0821
70	2.1043	2.0291	2.0836
71	2.1043	2.0050	2.0857
72	2.1043	2.0093	2.0869
73	2.1075	2.0129	2.0893
74	2.1075	2.0048	2.0922
75	2.1075	2.0128	2.0933
76	2.1075	2.0111	2.0948
77	2.1075	1.9960	2.0957
78	2.1075	2.0116	2.0961
79	2.1075	2.0073	2.0963
80	2.1075	2.0145	2.0965
81	2.1075	1.9989	2.0971
82	2.1075	1.9952	2.0972
83	2.1079	1.9957	2.0978
84	2.1079	1.9950	2.0978
85	2.1079	2.0069	2.0978
86	2.1079	2.0155	2.0978
87	2.1079	2.0172	2.0981
88	2.1079	2.0092	2.0981
89	2.1079	1.9955	2.0982
90	2.1079	2.0003	2.0982
91	2.1079	1.9999	2.0984
92	2.1079	1.9982	2.0984
93	2.1079	2.0006	2.0984
94	2.1079	1.9989	2.0986
95	2.1079	2.0049	2.0986
96	2.1079	2.0016	2.0987
97	2.1094	1.9732	2.0993
98	2.1094	1.9994	2.0995
99	2.1094	1.9895	2.0996
100	2.1094	2.0043	2.0997
101	2.1094	1.9830	2.0998
102	2.1094	1.9788	2.1000
103	2.1095	1.9975	2.1003
104	2.1095	1.9924	2.1006
105	2.1095	1.9914	2.1006
106	2.1095	1.9782	2.1009
107	2.1095	1.9983	2.1010
108	2.1095	1.9923	2.1011
109	2.1095	1.9931	2.1012
110	2.1095	1.9777	2.1012
111	2.1095	1.9901	2.1013
112	2.1095	1.9914	2.1014
113	2.1095	1.9993	2.1014
114	2.1095	1.9965	2.1015
115	2.1095	1.9848	2.1015
116	2.1095	1.9898	2.1016
117	2.1095	2.0093	2.1016
118	2.1095	1.9765	2.1017
119	2.1095	2.0126	2.1017
120	2.1095	1.9938	2.1017
121	2.1095	1.9868	2.1017
122	2.1095	1.9702	2.1018
123	2.1095	1.9958	2.1018
124	2.1095	1.9977	2.1018
125	2.1095	1.9814	2.1018
126	2.1095	1.9853	2.1019
127	2.1095	1.9813	2.1019
128	2.1110	1.9894	2.1022
129	2.1110	1.9713	2.1025
130	2.1131	2.0018	2.1035
131	2.1131	1.9879	2.1036
132	2.1131	1.9970	2.1038
133	2.1131	2.0125	2.1038
134	2.1131	2.0026	2.1038
135	2.1131	2.0202	2.1042
136	2.1131	2.0069	2.1046
137	2.1131	1.9994	2.1049
138	2.1131	1.9934	2.1050
139	2.1131	1.9999	2.1050
140	2.1132	2.0078	2.1054
141	2.1132	2.0112	2.1055
142	2.1132	2.0176	2.1056
143	2.1132	2.0009	2.1056
144	2.1132	2.0048	2.1057
145	2.1132	2.0120	2.1057
146	2.1132	1.9985	2.1058
147	2.1132	2.0134	2.1058
148	2.1132	2.0162	2.1059
149	2.1132	2.0155	2.1060
150	2.1132	2.0154	2.1060
151	2.1132	2.0241	2.1061
152	2.1132	2.0190	2.1061
153	2.1132	1.9970	2.1061
154	2.1132	2.0058	2.1061
155	2.1132	2.0087	2.1062
156	2.1132	2.0130	2.1062
157	2.1132	1.9894	2.1062
158	2.1132	1.9980	2.1063
159	2.1132	1.9774	2.1063
160	2.1132	1.9449	2.1063
161	2.1132	1.9822	2.1063
162	2.1132	1.9785	2.1063
163	2.1132	1.9759	2.1063
164	2.1132	2.0034	2.1063
165	2.1132	2.0030	2.1063
166	2.1132	1.9860	2.1063
167	2.1132	1.9886	2.1063
168	2.1132	2.0050	2.1063
169	2.1132	1.9862	2.1063
170	2.1132	2.0013	2.1063
171	2.1132	2.0091	2.1063
172	2.1132	1.9956	2.1063
173	2.1132	1.9788	2.1063
174	2.1132	1.9635	2.1063
175	2.1132	1.9715	2.1063
176	2.1132	1.9711	2.1063
177	2.1132	1.9781	2.1063
178	2.1132	1.9859	2.1063
179	2.1132	1.9868	2.1063
180	2.1132	1.9934	2.1063
181	2.1132	2.0009	2.0062
182	2.1132	1.9981	2.0072
183	2.1132	2.0005	2.0104
184	2.1132	1.9573	2.0134
185	2.1132	1.9193	2.0148
186	2.1132	1.8811	2.0190
187	2.1132	1.8400	2.0210
188	2.1132	1.8020	2.0237
189	2.1132	1.8562	2.0256
190	2.1132	1.8976	2.0264
191	2.1132	1.9019	2.0287
