numero,Cenario,Teste,nome,mutacao,elite,generation,population_size,step,FO_1,Tempo_1,Desv_1,FO_2
1,saida_,revistaA_2_numero_1_2.txt,saida_revistaA_2_numero_1_2.txt,20,10,2000,1000,10,,,,
2,saida_,revistaA_2_numero_1_3.txt,saida_revistaA_2_numero_1_3.txt,20,10,2000,1000,10,,,,
3,saida_,revistaA_2_numero_1_4.txt,saida_revistaA_2_numero_1_4.txt,20,10,2000,1000,10,,,,
4,saida_,revistaA_2_numero_1_5.txt,saida_revistaA_2_numero_1_5.txt,20,10,2000,1000,10,,,,
5,saida_,revistaA_2_numero_2_3.txt,saida_revistaA_2_numero_2_3.txt,20,10,2000,1000,10,,,,
6,saida_,revistaA_2_numero_2_4.txt,saida_revistaA_2_numero_2_4.txt,20,10,2000,1000,10,,,,
7,saida_,revistaA_2_numero_2_5.txt,saida_revistaA_2_numero_2_5.txt,20,10,2000,1000,10,,,,
8,saida_,revistaA_2_numero_3_4.txt,saida_revistaA_2_numero_3_4.txt,20,10,2000,1000,10,,,,
9,saida_,revistaA_2_numero_3_5.txt,saida_revistaA_2_numero_3_5.txt,20,10,2000,1000,10,,,,
10,saida_,revistaA_2_numero_4_5.txt,saida_revistaA_2_numero_4_5.txt,20,10,2000,1000,10,,,,
11,saida_,revistaA_3_numero_1_2_3.txt,saida_revistaA_3_numero_1_2_3.txt,20,10,2000,1000,10,,,,
12,saida_,revistaA_3_numero_1_2_4.txt,saida_revistaA_3_numero_1_2_4.txt,20,10,2000,1000,10,,,,
13,saida_,revistaA_3_numero_1_2_5.txt,saida_revistaA_3_numero_1_2_5.txt,20,10,2000,1000,10,,,,
14,saida_,revistaA_3_numero_1_3_4.txt,saida_revistaA_3_numero_1_3_4.txt,20,10,2000,1000,10,,,,
15,saida_,revistaA_3_numero_1_3_5.txt,saida_revistaA_3_numero_1_3_5.txt,20,10,2000,1000,10,,,,
16,saida_,revistaA_3_numero_1_4_5.txt,saida_revistaA_3_numero_1_4_5.txt,20,10,2000,1000,10,,,,
17,saida_,revistaA_3_numero_2_3_4.txt,saida_revistaA_3_numero_2_3_4.txt,20,10,2000,1000,10,,,,
18,saida_,revistaA_3_numero_2_3_5.txt,saida_revistaA_3_numero_2_3_5.txt,20,10,2000,1000,10,,,,
19,saida_,revistaA_3_numero_2_4_5.txt,saida_revistaA_3_numero_2_4_5.txt,20,10,2000,1000,10,,,,
20,saida_,revistaA_3_numero_3_4_5.txt,saida_revistaA_3_numero_3_4_5.txt,20,10,2000,1000,10,,,,
21,saida_,revistaA_4_numero_1_2_3_4.txt,saida_revistaA_4_numero_1_2_3_4.txt,20,10,2000,1000,10,,,,
22,saida_,revistaA_4_numero_1_2_3_5.txt,saida_revistaA_4_numero_1_2_3_5.txt,20,10,2000,1000,10,,,,
23,saida_,revistaA_4_numero_1_2_4_5.txt,saida_revistaA_4_numero_1_2_4_5.txt,20,10,2000,1000,10,,,,
24,saida_,revistaA_4_numero_1_3_4_5.txt,saida_revistaA_4_numero_1_3_4_5.txt,20,10,2000,1000,10,,,,
