gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0245	1.9405	2.0172
1	2.0282	1.9127	2.0194
2	2.0310	1.8731	2.0212
3	2.0325	1.8502	2.0231
4	2.0356	1.8224	2.0248
5	2.0368	1.8709	2.0263
6	2.0368	1.8515	2.0276
7	2.0368	1.8541	2.0287
8	2.0377	1.8548	2.0297
9	2.0389	1.8659	2.0310
10	2.0414	1.9073	2.0322
11	2.0414	1.9009	2.0339
12	2.0414	1.9214	2.0352
13	2.0414	1.9078	2.0360
14	2.0427	1.8856	2.0370
15	2.0431	1.8721	2.0378
16	2.0431	1.9005	2.0381
17	2.0431	1.8961	2.0385
18	2.0435	1.9041	2.0389
19	2.0441	1.9199	2.0391
20	2.0445	1.9060	2.0396
21	2.0445	1.9016	2.0399
22	2.0445	1.8880	2.0402
23	2.0445	1.9108	2.0403
24	2.0445	1.8754	2.0405
25	2.0449	1.9095	2.0407
26	2.0449	1.9158	2.0409
27	2.0449	1.9178	2.0411
28	2.0449	1.9150	2.0412
29	2.0449	1.9196	2.0413
30	2.0449	1.8777	2.0414
31	2.0449	1.9050	2.0414
32	2.0449	1.9166	2.0415
33	2.0449	1.9152	2.0416
34	2.0449	1.8932	2.0417
35	2.0449	1.8899	2.0417
36	2.0449	1.8918	2.0417
37	2.0449	1.8842	2.0418
38	2.0449	1.8847	2.0419
39	2.0461	1.9102	2.0420
40	2.0461	1.9033	2.0421
41	2.0464	1.8709	2.0422
42	2.0464	1.8982	2.0423
43	2.0464	1.8778	2.0424
44	2.0464	1.9001	2.0425
45	2.0464	1.9196	2.0426
46	2.0464	1.9052	2.0426
47	2.0464	1.9183	2.0426
48	2.0464	1.8942	2.0426
49	2.0464	1.8901	2.0426
50	2.0464	1.8952	2.0427
51	2.0464	1.8817	2.0427
52	2.0464	1.8859	2.0427
53	2.0464	1.9031	2.0428
54	2.0464	1.9032	2.0428
55	2.0464	1.8959	2.0428
56	2.0464	1.8836	2.0429
57	2.0464	1.7890	2.0429
58	2.0464	1.8346	2.0429
59	2.0464	1.8733	2.0429
60	2.0464	1.8869	2.0429
61	2.0464	1.8960	2.0429
62	2.0464	1.9077	2.0429
63	2.0464	1.8842	2.0430
64	2.0464	1.8820	2.0431
65	2.0464	1.9050	2.0431
66	2.0464	1.9012	2.0431
67	2.0464	1.8699	2.0432
68	2.0464	1.8831	2.0433
69	2.0464	1.8710	2.0433
70	2.0464	1.9056	2.0433
71	2.0464	1.8981	2.0433
72	2.0464	1.7777	2.0429
73	2.0464	1.8712	2.0432
74	2.0464	1.8611	2.0434
75	2.0464	1.8544	2.0435
76	2.0464	1.8632	2.0436
77	2.0464	1.8754	2.0436
78	2.0464	1.8822	2.0436
79	2.0464	1.8992	2.0437
80	2.0464	1.8968	2.0438
81	2.0464	1.9025	2.0438
82	2.0464	1.7993	2.0173
83	2.0464	1.8716	2.0197
84	2.0464	1.8172	2.0215
85	2.0464	1.7774	2.0234
86	2.0464	1.7439	2.0244
87	2.0464	1.7959	2.0258
88	2.0464	1.8029	2.0271
89	2.0464	1.8133	2.0287
90	2.0464	1.8121	2.0301
91	2.0464	1.8486	2.0317
92	2.0464	1.8423	2.0332
