gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0329	2.0046	2.0132
1	2.0329	1.9912	2.0159
2	2.0329	1.9482	2.0192
3	2.0329	1.9160	2.0218
4	2.0377	1.8555	2.0245
5	2.0381	1.8130	2.0268
6	2.0435	1.8310	2.0292
7	2.0435	1.8244	2.0308
8	2.0564	1.8162	2.0327
9	2.0564	1.8195	2.0346
10	2.0564	1.8319	2.0365
11	2.0675	1.8430	2.0388
12	2.0675	1.8451	2.0398
13	2.0675	1.8421	2.0412
14	2.0675	1.8328	2.0430
15	2.0677	1.8447	2.0450
16	2.0709	1.8515	2.0471
17	2.0709	1.8829	2.0488
18	2.0709	1.8940	2.0508
19	2.0709	1.9137	2.0533
20	2.0746	1.8828	2.0553
21	2.0783	1.8833	2.0571
22	2.0783	1.9127	2.0592
23	2.0833	1.9023	2.0616
24	2.0833	1.9188	2.0631
25	2.0833	1.9423	2.0647
26	2.0887	1.9279	2.0669
27	2.0887	1.9433	2.0686
28	2.0887	1.9676	2.0698
29	2.0887	1.9515	2.0714
30	2.0887	1.9780	2.0734
31	2.0953	1.9863	2.0752
32	2.0953	1.9824	2.0767
33	2.0953	1.9946	2.0777
34	2.0953	1.9880	2.0788
35	2.0953	1.9940	2.0798
36	2.0953	1.9877	2.0801
37	2.0953	1.9946	2.0804
38	2.0953	1.9940	2.0810
39	2.0953	1.9810	2.0817
40	2.0980	1.9953	2.0826
41	2.0980	1.9938	2.0835
42	2.1019	1.9797	2.0846
43	2.1019	2.0115	2.0856
44	2.1019	1.9952	2.0868
45	2.1019	1.9904	2.0877
46	2.1019	1.9962	2.0884
47	2.1019	1.9971	2.0894
48	2.1054	2.0005	2.0901
49	2.1054	2.0014	2.0910
50	2.1054	1.9975	2.0918
51	2.1054	1.9968	2.0924
52	2.1054	2.0027	2.0935
53	2.1055	1.9967	2.0945
54	2.1055	1.9951	2.0949
55	2.1055	2.0018	2.0953
56	2.1055	1.9797	2.0956
57	2.1055	1.9997	2.0962
58	2.1055	1.9962	2.0964
59	2.1055	1.9812	2.0966
60	2.1057	1.9996	2.0970
61	2.1094	1.9924	2.0975
62	2.1094	2.0022	2.0977
63	2.1094	1.9939	2.0982
64	2.1094	1.9903	2.0983
65	2.1094	1.9807	2.0985
66	2.1094	2.0029	2.0986
67	2.1094	1.9988	2.0987
68	2.1094	1.9840	2.0987
69	2.1094	1.9930	2.0988
70	2.1094	1.9989	2.0990
71	2.1094	1.9963	2.0992
72	2.1094	2.0008	2.0992
73	2.1094	1.9998	2.0993
74	2.1094	1.9988	2.0993
75	2.1094	1.9917	2.0994
76	2.1094	2.0001	2.0995
77	2.1094	1.9661	2.0995
78	2.1094	1.9638	2.0995
79	2.1094	1.9285	2.0995
80	2.1094	1.9599	2.0996
81	2.1094	1.9587	2.0996
82	2.1094	1.9881	2.0997
83	2.1094	1.9931	2.0998
84	2.1094	1.9818	2.0999
85	2.1094	1.9858	2.0999
86	2.1094	1.9808	2.0999
87	2.1094	1.9894	2.1000
88	2.1094	2.0003	2.1000
89	2.1094	1.9874	2.1000
90	2.1094	1.9868	2.1000
91	2.1094	2.0006	2.1001
92	2.1094	1.9714	2.1001
93	2.1094	1.9721	2.1001
94	2.1094	1.9479	2.1001
95	2.1094	1.9417	2.1001
96	2.1094	1.9536	2.1001
97	2.1094	1.9791	2.1001
98	2.1094	1.9697	2.1001
99	2.1094	1.9920	2.1001
100	2.1094	1.9866	2.1002
101	2.1094	1.9817	2.1002
102	2.1094	1.9303	2.0120
103	2.1094	1.9641	2.0149
104	2.1094	1.9179	2.0175
105	2.1094	1.8378	2.0203
106	2.1094	1.7836	2.0224
107	2.1094	1.7215	2.0252
108	2.1094	1.7883	2.0276
109	2.1094	1.7723	2.0297
110	2.1094	1.8100	2.0342
111	2.1094	1.8139	2.0357
112	2.1094	1.8030	2.0389
