gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0141	2.0042	2.0077
1	2.0250	2.0035	2.0094
2	2.0250	2.0058	2.0121
3	2.0416	1.9973	2.0165
4	2.0416	1.9651	2.0201
5	2.0416	1.9066	2.0233
6	2.0455	1.8740	2.0259
7	2.0570	1.8660	2.0294
8	2.0591	1.8311	2.0328
9	2.0634	1.8086	2.0361
10	2.0634	1.8311	2.0376
11	2.0634	1.8026	2.0397
12	2.0646	1.8377	2.0412
13	2.0646	1.8301	2.0425
14	2.0646	1.8475	2.0437
15	2.0646	1.8311	2.0446
16	2.0646	1.8374	2.0459
17	2.0646	1.8074	2.0466
18	2.0646	1.8420	2.0481
19	2.0677	1.8236	2.0494
20	2.0677	1.8435	2.0505
21	2.0677	1.8514	2.0517
22	2.0677	1.8401	2.0524
23	2.0765	1.8489	2.0539
24	2.0765	1.8406	2.0547
25	2.0765	1.8594	2.0557
26	2.0765	1.8335	2.0565
27	2.0765	1.8516	2.0574
28	2.0765	1.8655	2.0584
29	2.0782	1.8831	2.0598
30	2.0782	1.8989	2.0610
31	2.0782	1.8983	2.0622
32	2.0782	1.8873	2.0631
33	2.0782	1.8866	2.0641
34	2.0782	1.9287	2.0653
35	2.0879	1.9252	2.0667
36	2.0879	1.9230	2.0682
37	2.0879	1.9343	2.0695
38	2.0879	1.9513	2.0719
39	2.0901	1.9608	2.0733
40	2.0901	1.9549	2.0745
41	2.1033	1.9652	2.0764
42	2.1033	1.9580	2.0782
43	2.1033	1.9479	2.0805
44	2.1033	1.9616	2.0814
45	2.1033	1.9692	2.0827
46	2.1033	1.9730	2.0845
47	2.1033	1.9590	2.0866
48	2.1033	1.9615	2.0880
49	2.1033	1.9561	2.0899
50	2.1033	1.9570	2.0914
51	2.1033	1.9725	2.0928
52	2.1033	1.9579	2.0936
53	2.1034	1.9632	2.0943
54	2.1071	1.9639	2.0949
55	2.1071	1.9616	2.0954
56	2.1143	1.9697	2.0965
57	2.1143	1.9585	2.0969
58	2.1143	1.9749	2.0977
59	2.1143	1.9772	2.0983
60	2.1143	1.9902	2.0991
61	2.1143	1.9724	2.0997
62	2.1143	1.9739	2.1001
63	2.1143	1.9764	2.1003
64	2.1143	1.9579	2.1006
65	2.1143	1.9704	2.1010
66	2.1143	1.9855	2.1010
67	2.1143	1.9832	2.1014
68	2.1143	1.9860	2.1017
69	2.1143	1.9800	2.1019
70	2.1143	1.9667	2.1021
71	2.1143	1.9534	2.1024
72	2.1143	2.0086	2.1024
73	2.1143	1.9985	2.1024
74	2.1143	1.9647	2.1026
75	2.1143	1.9430	2.1028
76	2.1143	1.9126	2.1031
77	2.1143	1.9451	2.1035
78	2.1143	1.9463	2.1036
79	2.1143	1.9683	2.1037
80	2.1143	1.9707	2.1040
81	2.1145	1.9594	2.1044
82	2.1145	1.9624	2.1045
83	2.1145	1.9709	2.1046
84	2.1145	1.9815	2.1047
85	2.1145	1.9778	2.1048
86	2.1171	1.9705	2.1051
87	2.1171	1.9876	2.1054
88	2.1212	1.9670	2.1057
89	2.1212	1.9720	2.1060
90	2.1212	1.9617	2.1061
91	2.1212	1.9718	2.1062
92	2.1212	1.9696	2.1063
93	2.1212	1.9786	2.1065
94	2.1212	1.9820	2.1066
95	2.1212	1.9887	2.1069
96	2.1212	2.0039	2.1070
97	2.1212	1.9884	2.1073
98	2.1212	1.9841	2.1074
99	2.1212	1.9895	2.1076
100	2.1212	1.9753	2.1076
101	2.1212	1.9723	2.1079
102	2.1212	1.9899	2.1081
103	2.1212	1.9764	2.1082
104	2.1212	2.0086	2.1082
105	2.1212	2.0025	2.1084
106	2.1212	1.9844	2.1085
107	2.1212	1.9527	2.1086
108	2.1212	1.9485	2.1086
109	2.1212	1.9503	2.1087
110	2.1212	1.9639	2.1088
111	2.1212	1.9556	2.1088
112	2.1212	1.9659	2.1088
113	2.1212	1.9712	2.1089
114	2.1304	1.9896	2.1092
115	2.1304	1.9629	2.1093
116	2.1394	1.9737	2.1097
117	2.1394	1.9783	2.1106
118	2.1394	1.9825	2.1111
119	2.1394	1.9780	2.1119
120	2.1394	1.9808	2.1127
