gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0084	1.9876	2.0067
1	2.0093	1.9942	2.0072
2	2.0109	1.9890	2.0080
3	2.0130	1.9615	2.0088
4	2.0130	1.9395	2.0096
5	2.0131	1.9087	2.0102
6	2.0140	1.8490	2.0108
7	2.0140	1.8307	2.0111
8	2.0140	1.8169	2.0115
9	2.0140	1.8021	2.0119
10	2.0144	1.8202	2.0122
11	2.0146	1.8106	2.0126
12	2.0159	1.8188	2.0131
13	2.0159	1.8278	2.0134
14	2.0159	1.8309	2.0138
15	2.0160	1.8309	2.0142
16	2.0160	1.8309	2.0145
17	2.0162	1.8598	2.0147
18	2.0188	1.8141	2.0152
19	2.0188	1.8469	2.0157
20	2.0192	1.8643	2.0162
21	2.0198	1.8535	2.0168
22	2.0198	1.8864	2.0172
23	2.0199	1.8933	2.0178
24	2.0200	1.8809	2.0184
25	2.0206	1.9146	2.0189
26	2.0210	1.9263	2.0193
27	2.0210	1.9168	2.0196
28	2.0211	1.8974	2.0198
29	2.0211	1.9092	2.0199
30	2.0213	1.9146	2.0200
31	2.0216	1.9146	2.0202
32	2.0216	1.9276	2.0204
33	2.0216	1.9092	2.0206
34	2.0220	1.9380	2.0208
35	2.0220	1.9214	2.0210
36	2.0229	1.9199	2.0212
37	2.0229	1.9050	2.0214
38	2.0229	1.9146	2.0215
39	2.0229	1.9111	2.0216
40	2.0229	1.9333	2.0217
41	2.0229	1.9027	2.0218
42	2.0229	1.9251	2.0219
43	2.0229	1.9433	2.0220
44	2.0229	1.9365	2.0220
45	2.0229	1.9111	2.0221
46	2.0230	1.9414	2.0221
47	2.0230	1.9446	2.0222
48	2.0230	1.9263	2.0223
49	2.0230	1.9372	2.0223
50	2.0230	1.9236	2.0224
51	2.0230	1.9376	2.0224
52	2.0230	1.8914	2.0224
53	2.0230	1.9171	2.0225
54	2.0230	1.9165	2.0225
55	2.0230	1.9262	2.0225
56	2.0230	1.9171	2.0225
57	2.0230	1.9064	2.0225
58	2.0230	1.9162	2.0225
59	2.0230	1.9295	2.0226
60	2.0230	1.9064	2.0226
61	2.0230	1.9196	2.0226
62	2.0230	1.8552	2.0226
63	2.0230	1.9069	2.0226
64	2.0230	1.8973	2.0226
65	2.0230	1.8917	2.0226
66	2.0230	1.8846	2.0226
67	2.0230	1.9192	2.0227
68	2.0230	1.9139	2.0227
69	2.0230	1.9077	2.0227
70	2.0230	1.8833	2.0227
71	2.0230	1.9068	2.0227
72	2.0230	1.8940	2.0227
73	2.0230	1.9108	2.0227
74	2.0230	1.8997	2.0227
75	2.0230	1.8937	2.0227
76	2.0230	1.8815	2.0227
77	2.0230	1.8729	2.0226
78	2.0230	1.9015	2.0227
79	2.0230	1.8793	2.0227
80	2.0230	1.8973	2.0227
81	2.0230	1.8925	2.0227
82	2.0230	1.8786	2.0227
83	2.0230	1.8874	2.0227
84	2.0230	1.8819	2.0227
85	2.0230	1.8727	2.0227
86	2.0230	1.8728	2.0227
87	2.0230	1.8596	2.0072
88	2.0230	1.9503	2.0080
89	2.0230	1.8669	2.0086
90	2.0230	1.8064	2.0094
91	2.0230	1.7123	2.0100
92	2.0230	1.7449	2.0110
93	2.0230	1.7662	2.0118
94	2.0230	1.7091	2.0123
95	2.0230	1.7493	2.0133
96	2.0230	1.7227	2.0143
97	2.0230	1.7506	2.0150
