gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0083	2.0030	2.0052
1	2.0083	2.0037	2.0059
2	2.0118	2.0016	2.0071
3	2.0127	1.9996	2.0085
4	2.0194	1.9683	2.0104
5	2.0213	1.9513	2.0123
6	2.0260	1.8964	2.0142
7	2.0260	1.8664	2.0161
8	2.0319	1.8383	2.0181
9	2.0319	1.8487	2.0195
10	2.0393	1.8688	2.0222
11	2.0448	1.8429	2.0244
12	2.0526	1.8637	2.0271
13	2.0526	1.8571	2.0303
14	2.0526	1.8903	2.0339
15	2.0526	1.8784	2.0365
16	2.0614	1.8713	2.0388
17	2.0614	1.8944	2.0412
18	2.0756	1.8983	2.0431
19	2.0756	1.8932	2.0452
20	2.0756	1.9042	2.0472
21	2.0756	1.9338	2.0485
22	2.0756	1.9369	2.0505
23	2.0756	1.9376	2.0515
24	2.0756	1.9513	2.0532
25	2.0922	1.9598	2.0552
26	2.0922	1.9685	2.0574
27	2.0922	1.9592	2.0594
28	2.0922	1.9753	2.0613
29	2.0922	1.9801	2.0631
30	2.0922	1.9869	2.0650
31	2.0974	1.9829	2.0670
32	2.0974	1.9800	2.0700
33	2.0974	1.9768	2.0721
34	2.0974	1.9954	2.0734
35	2.0974	1.9846	2.0747
36	2.0974	1.9764	2.0767
37	2.0974	1.9861	2.0782
38	2.1029	1.9947	2.0798
39	2.1082	2.0034	2.0816
40	2.1082	2.0032	2.0832
41	2.1307	1.9967	2.0852
42	2.1307	1.9882	2.0873
43	2.1307	1.9909	2.0894
44	2.1307	1.9873	2.0923
45	2.1307	1.9917	2.0943
46	2.1307	1.9856	2.0965
47	2.1419	1.9944	2.0997
48	2.1419	1.9770	2.1014
49	2.1419	1.9811	2.1025
50	2.1489	1.9886	2.1047
51	2.1489	1.9848	2.1073
52	2.1489	1.9915	2.1089
53	2.1489	1.9847	2.1111
54	2.1489	1.9903	2.1127
55	2.1504	2.0032	2.1157
56	2.1504	2.0052	2.1177
57	2.1504	2.0019	2.1202
58	2.1504	1.9991	2.1218
59	2.1548	1.9944	2.1237
60	2.1548	2.0097	2.1248
61	2.1583	2.0020	2.1270
62	2.1583	1.9980	2.1293
63	2.1632	2.0066	2.1325
64	2.1632	2.0288	2.1334
65	2.1649	2.0157	2.1358
66	2.1649	2.0114	2.1375
67	2.1649	2.0248	2.1391
68	2.1649	2.0145	2.1397
69	2.1649	2.0060	2.1407
70	2.1649	2.0127	2.1418
71	2.1649	2.0104	2.1421
72	2.1649	2.0238	2.1423
73	2.1649	2.0157	2.1428
74	2.1649	2.0144	2.1434
75	2.1649	2.0120	2.1439
76	2.1649	2.0186	2.1445
77	2.1658	2.0153	2.1452
78	2.1658	2.0199	2.1458
79	2.1658	2.0015	2.1461
80	2.1658	2.0075	2.1461
81	2.1658	2.0200	2.1464
82	2.1658	2.0253	2.1466
83	2.1658	2.0360	2.1467
84	2.1658	2.0133	2.1471
85	2.1658	2.0151	2.1471
86	2.1658	2.0219	2.1471
87	2.1658	2.0177	2.1472
88	2.1658	2.0189	2.1473
89	2.1658	2.0265	2.1476
90	2.1658	2.0173	2.1478
91	2.1658	2.0162	2.1481
92	2.1658	2.0204	2.1482
93	2.1658	2.0172	2.1482
94	2.1658	2.0089	2.1482
95	2.1658	1.9886	2.1484
96	2.1658	1.9762	2.1484
97	2.1658	1.9721	2.1485
98	2.1658	1.9762	2.1485
99	2.1658	2.0002	2.1486
100	2.1658	2.0069	2.1488
101	2.1658	2.0077	2.1489
102	2.1658	2.0107	2.1491
103	2.1658	2.0200	2.1498
104	2.1658	2.0131	2.1500
105	2.1658	2.0219	2.1500
106	2.1658	2.0042	2.1500
107	2.1658	2.0145	2.1501
108	2.1658	2.0174	2.1501
109	2.1658	1.9977	2.1501
110	2.1658	1.9835	2.1501
111	2.1658	1.9757	2.1501
112	2.1658	1.9740	2.1501
113	2.1658	1.9734	2.1502
114	2.1658	1.9856	2.1503
115	2.1658	1.9946	2.1503
116	2.1658	2.0024	2.1504
117	2.1658	2.0019	2.1506
118	2.1658	1.9996	2.0059
119	2.1658	2.0028	2.0071
120	2.1658	1.9866	2.0088
121	2.1658	1.9219	2.0101
122	2.1658	1.8748	2.0128
123	2.1658	1.7977	2.0142
124	2.1658	1.7758	2.0159
125	2.1658	1.7497	2.0184
126	2.1658	1.7689	2.0214
127	2.1658	1.8137	2.0259
128	2.1658	1.8206	2.0333
