gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0134	1.9801	2.0098
1	2.0159	1.9580	2.0111
2	2.0159	1.9397	2.0119
3	2.0159	1.9167	2.0125
4	2.0159	1.8588	2.0132
5	2.0159	1.8211	2.0137
6	2.0159	1.8399	2.0141
7	2.0165	1.8201	2.0145
8	2.0165	1.8148	2.0149
9	2.0180	1.8544	2.0153
10	2.0180	1.8331	2.0156
11	2.0181	1.8617	2.0161
12	2.0186	1.8613	2.0164
13	2.0188	1.8696	2.0169
14	2.0204	1.8570	2.0174
15	2.0204	1.8642	2.0180
16	2.0204	1.8784	2.0184
17	2.0204	1.8629	2.0188
18	2.0208	1.8804	2.0191
19	2.0208	1.8824	2.0194
20	2.0211	1.8580	2.0197
21	2.0211	1.8728	2.0201
22	2.0212	1.8669	2.0203
23	2.0218	1.8814	2.0206
24	2.0218	1.8934	2.0208
25	2.0218	1.8975	2.0209
26	2.0218	1.8827	2.0211
27	2.0218	1.9139	2.0212
28	2.0223	1.9039	2.0213
29	2.0223	1.9239	2.0214
30	2.0223	1.8981	2.0215
31	2.0223	1.9052	2.0217
32	2.0223	1.8940	2.0218
33	2.0226	1.9126	2.0219
34	2.0226	1.9140	2.0220
35	2.0226	1.9015	2.0221
36	2.0226	1.9088	2.0222
37	2.0226	1.9319	2.0222
38	2.0226	1.9118	2.0223
39	2.0226	1.9282	2.0223
40	2.0226	1.9189	2.0223
41	2.0226	1.9116	2.0223
42	2.0226	1.9120	2.0223
43	2.0226	1.9285	2.0224
44	2.0226	1.9075	2.0224
45	2.0226	1.8964	2.0224
46	2.0226	1.8972	2.0224
47	2.0226	1.9119	2.0224
48	2.0226	1.9015	2.0224
49	2.0226	1.8304	2.0224
50	2.0226	1.8910	2.0224
51	2.0226	1.8726	2.0224
52	2.0226	1.8835	2.0224
53	2.0226	1.8685	2.0224
54	2.0226	1.8630	2.0224
55	2.0226	1.8640	2.0224
56	2.0226	1.8913	2.0224
57	2.0226	1.8821	2.0224
58	2.0226	1.8605	2.0224
59	2.0226	1.8925	2.0224
60	2.0226	1.8805	2.0224
61	2.0226	1.8752	2.0224
62	2.0226	1.8638	2.0224
63	2.0226	1.8934	2.0224
64	2.0226	1.8420	2.0224
65	2.0226	1.8790	2.0224
66	2.0226	1.8519	2.0224
67	2.0226	1.8518	2.0224
68	2.0226	1.8882	2.0224
69	2.0226	1.8895	2.0224
70	2.0226	1.8945	2.0224
71	2.0226	1.8810	2.0224
72	2.0226	1.8793	2.0224
73	2.0226	1.8892	2.0224
74	2.0226	1.8134	2.0095
75	2.0226	1.9045	2.0105
76	2.0226	1.8651	2.0113
77	2.0226	1.8118	2.0118
78	2.0226	1.7942	2.0125
79	2.0226	1.7563	2.0130
80	2.0226	1.7544	2.0133
81	2.0226	1.7447	2.0138
82	2.0226	1.7518	2.0143
83	2.0226	1.7334	2.0147
84	2.0226	1.7532	2.0152
