gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0128	2.0019	2.0090
1	2.0161	1.9913	2.0102
2	2.0161	1.9757	2.0112
3	2.0164	1.9422	2.0124
4	2.0164	1.9016	2.0133
5	2.0184	1.8486	2.0142
6	2.0188	1.8195	2.0151
7	2.0188	1.8093	2.0157
8	2.0215	1.8169	2.0163
9	2.0215	1.8319	2.0170
10	2.0215	1.8307	2.0178
11	2.0215	1.8164	2.0184
12	2.0242	1.8387	2.0192
13	2.0242	1.8161	2.0197
14	2.0242	1.8360	2.0202
15	2.0247	1.8567	2.0209
16	2.0247	1.8490	2.0213
17	2.0247	1.8440	2.0217
18	2.0247	1.8455	2.0221
19	2.0247	1.8891	2.0226
20	2.0258	1.8855	2.0232
21	2.0259	1.8924	2.0236
22	2.0259	1.8922	2.0239
23	2.0269	1.8960	2.0242
24	2.0269	1.8855	2.0246
25	2.0269	1.9102	2.0249
26	2.0278	1.9120	2.0254
27	2.0278	1.9347	2.0256
28	2.0278	1.9368	2.0260
29	2.0278	1.9277	2.0263
30	2.0282	1.9522	2.0266
31	2.0286	1.9296	2.0268
32	2.0288	1.9548	2.0271
33	2.0288	1.9361	2.0274
34	2.0296	1.9424	2.0276
35	2.0298	1.9288	2.0279
36	2.0300	1.9547	2.0282
37	2.0300	1.9506	2.0284
38	2.0300	1.9616	2.0287
39	2.0302	1.9503	2.0290
40	2.0302	1.9534	2.0290
41	2.0302	1.9330	2.0291
42	2.0302	1.9313	2.0291
43	2.0302	1.9421	2.0292
44	2.0305	1.9468	2.0292
45	2.0305	1.9532	2.0293
46	2.0305	1.9366	2.0294
47	2.0305	1.9494	2.0294
48	2.0305	1.9595	2.0294
49	2.0305	1.9322	2.0295
50	2.0305	1.9299	2.0295
51	2.0305	1.9559	2.0295
52	2.0305	1.9569	2.0296
53	2.0305	1.9475	2.0296
54	2.0305	1.9340	2.0296
55	2.0305	1.9510	2.0296
56	2.0305	1.9629	2.0296
57	2.0306	1.9581	2.0297
58	2.0306	1.9474	2.0297
59	2.0306	1.9440	2.0297
60	2.0306	1.9371	2.0297
61	2.0306	1.9286	2.0297
62	2.0306	1.9396	2.0297
63	2.0306	1.9586	2.0297
64	2.0306	1.9274	2.0297
65	2.0306	1.9352	2.0297
66	2.0306	1.9342	2.0297
67	2.0306	1.9516	2.0298
68	2.0306	1.9430	2.0298
69	2.0306	1.9026	2.0298
70	2.0306	1.9289	2.0298
71	2.0306	1.9389	2.0298
72	2.0306	1.9365	2.0298
73	2.0306	1.9436	2.0298
74	2.0306	1.9510	2.0298
75	2.0306	1.9253	2.0298
76	2.0306	1.9267	2.0298
77	2.0306	1.9178	2.0298
78	2.0306	1.9101	2.0298
79	2.0306	1.9165	2.0298
80	2.0306	1.9218	2.0298
81	2.0306	1.9210	2.0298
82	2.0306	1.9037	2.0298
83	2.0306	1.9165	2.0299
84	2.0306	1.9300	2.0299
85	2.0306	1.9201	2.0299
86	2.0306	1.9011	2.0299
87	2.0306	1.9166	2.0299
88	2.0306	1.9437	2.0295
89	2.0306	1.9495	2.0299
90	2.0306	1.9166	2.0299
91	2.0306	1.9073	2.0299
92	2.0306	1.9062	2.0299
93	2.0306	1.9036	2.0299
94	2.0306	1.8991	2.0299
95	2.0306	1.9074	2.0299
96	2.0306	1.9216	2.0299
97	2.0306	1.9146	2.0300
98	2.0306	1.9102	2.0089
99	2.0306	1.9383	2.0104
100	2.0306	1.8956	2.0116
101	2.0306	1.7627	2.0123
102	2.0306	1.7568	2.0132
103	2.0306	1.7278	2.0144
104	2.0306	1.7452	2.0155
105	2.0306	1.7563	2.0167
106	2.0306	1.7656	2.0178
107	2.0306	1.7579	2.0186
108	2.0306	1.7570	2.0198
