gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0071	1.9757	2.0059
1	2.0074	1.9773	2.0062
2	2.0075	1.9521	2.0066
3	2.0081	1.9362	2.0069
4	2.0086	1.9091	2.0073
5	2.0086	1.8800	2.0075
6	2.0089	1.8542	2.0077
7	2.0089	1.8479	2.0079
8	2.0089	1.8085	2.0081
9	2.0091	1.8242	2.0083
10	2.0091	1.8625	2.0085
11	2.0095	1.8146	2.0087
12	2.0095	1.8198	2.0088
13	2.0101	1.8196	2.0090
14	2.0101	1.8188	2.0092
15	2.0101	1.8104	2.0094
16	2.0101	1.8427	2.0095
17	2.0103	1.8272	2.0096
18	2.0103	1.8356	2.0097
19	2.0103	1.8578	2.0098
20	2.0103	1.8453	2.0099
21	2.0103	1.8610	2.0099
22	2.0103	1.8430	2.0100
23	2.0103	1.8561	2.0100
24	2.0103	1.8708	2.0101
25	2.0106	1.8516	2.0102
26	2.0106	1.8380	2.0102
27	2.0106	1.8552	2.0103
28	2.0106	1.8527	2.0103
29	2.0108	1.8526	2.0104
30	2.0108	1.8632	2.0104
31	2.0108	1.8759	2.0105
32	2.0108	1.8687	2.0105
33	2.0108	1.8712	2.0106
34	2.0108	1.8820	2.0106
35	2.0108	1.8919	2.0106
36	2.0108	1.8766	2.0107
37	2.0108	1.8470	2.0107
38	2.0109	1.8533	2.0107
39	2.0111	1.8645	2.0108
40	2.0111	1.8531	2.0108
41	2.0111	1.8817	2.0108
42	2.0111	1.8684	2.0109
43	2.0111	1.8890	2.0109
44	2.0111	1.8911	2.0109
45	2.0111	1.8563	2.0110
46	2.0111	1.8630	2.0110
47	2.0111	1.8878	2.0111
48	2.0111	1.8758	2.0111
49	2.0111	1.8614	2.0111
50	2.0112	1.8661	2.0111
51	2.0112	1.8471	2.0111
52	2.0112	1.8551	2.0111
53	2.0112	1.8840	2.0112
54	2.0112	1.8741	2.0112
55	2.0112	1.8610	2.0112
56	2.0112	1.8639	2.0112
57	2.0112	1.8600	2.0112
58	2.0112	1.8661	2.0112
59	2.0112	1.8327	2.0112
60	2.0112	1.8559	2.0112
61	2.0112	1.8646	2.0112
62	2.0112	1.8744	2.0112
63	2.0112	1.8362	2.0112
64	2.0112	1.8544	2.0112
65	2.0112	1.8700	2.0112
66	2.0112	1.8560	2.0112
67	2.0112	1.8518	2.0112
68	2.0112	1.8776	2.0112
69	2.0112	1.8125	2.0112
70	2.0112	1.8441	2.0112
71	2.0112	1.7166	2.0112
72	2.0112	1.8624	2.0112
73	2.0112	1.8650	2.0112
74	2.0112	1.8588	2.0112
75	2.0112	1.8944	2.0112
76	2.0112	1.8624	2.0112
77	2.0112	1.8841	2.0112
78	2.0112	1.8668	2.0112
79	2.0112	1.8446	2.0112
80	2.0112	1.8751	2.0112
81	2.0112	1.8668	2.0112
82	2.0112	1.8496	2.0112
83	2.0112	1.8313	2.0112
84	2.0112	1.8414	2.0112
85	2.0112	1.8430	2.0112
86	2.0112	1.7030	2.0112
87	2.0112	1.8500	2.0112
88	2.0112	1.8678	2.0112
89	2.0112	1.8591	2.0112
90	2.0112	1.8253	2.0112
91	2.0112	1.8209	2.0112
92	2.0112	1.8114	2.0112
93	2.0112	1.8372	2.0112
94	2.0112	1.8129	2.0112
95	2.0112	1.8341	2.0112
96	2.0112	1.7050	2.0061
97	2.0112	1.8862	2.0067
98	2.0112	1.8817	2.0070
99	2.0112	1.8054	2.0074
100	2.0112	1.7954	2.0076
101	2.0112	1.7424	2.0079
102	2.0112	1.7454	2.0081
103	2.0112	1.7567	2.0084
104	2.0112	1.7195	2.0087
105	2.0112	1.7781	2.0089
106	2.0112	1.7605	2.0091
