gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0070	2.0029	2.0045
1	2.0105	2.0033	2.0051
2	2.0105	2.0039	2.0058
3	2.0115	2.0046	2.0069
4	2.0129	2.0053	2.0083
5	2.0159	1.9925	2.0103
6	2.0219	1.9551	2.0127
7	2.0220	1.9224	2.0152
8	2.0246	1.8829	2.0171
9	2.0286	1.8781	2.0190
10	2.0286	1.8478	2.0200
11	2.0315	1.8274	2.0216
12	2.0337	1.8370	2.0231
13	2.0337	1.8468	2.0243
14	2.0352	1.8450	2.0262
15	2.0403	1.8108	2.0267
16	2.0416	1.8124	2.0282
17	2.0433	1.8559	2.0292
18	2.0433	1.8366	2.0302
19	2.0470	1.8241	2.0312
20	2.0470	1.8526	2.0320
21	2.0470	1.8249	2.0326
22	2.0470	1.8297	2.0333
23	2.0470	1.8499	2.0342
24	2.0470	1.8300	2.0350
25	2.0470	1.8514	2.0357
26	2.0470	1.8621	2.0363
27	2.0527	1.8374	2.0371
28	2.0527	1.8416	2.0380
29	2.0527	1.8369	2.0387
30	2.0527	1.8214	2.0394
31	2.0527	1.8284	2.0398
32	2.0527	1.8394	2.0402
33	2.0527	1.8497	2.0405
34	2.0527	1.8464	2.0411
35	2.0527	1.8489	2.0424
36	2.0545	1.8598	2.0431
37	2.0545	1.8541	2.0437
38	2.0567	1.8662	2.0444
39	2.0567	1.8747	2.0451
40	2.0567	1.8524	2.0457
41	2.0567	1.8555	2.0463
42	2.0596	1.8661	2.0470
43	2.0596	1.8492	2.0473
44	2.0596	1.8679	2.0474
45	2.0596	1.8717	2.0480
46	2.0596	1.8663	2.0484
47	2.0596	1.8566	2.0490
48	2.0596	1.8566	2.0492
49	2.0596	1.8599	2.0497
50	2.0596	1.8786	2.0504
51	2.0611	1.8532	2.0512
52	2.0611	1.8753	2.0515
53	2.0623	1.9078	2.0522
54	2.0623	1.8851	2.0529
55	2.0667	1.8684	2.0535
56	2.0667	1.8612	2.0543
57	2.0667	1.8330	2.0550
58	2.0667	1.8710	2.0553
59	2.0670	1.8675	2.0561
60	2.0670	1.8719	2.0565
61	2.0734	1.8734	2.0570
62	2.0734	1.8576	2.0574
63	2.0734	1.8774	2.0578
64	2.0734	1.8696	2.0581
65	2.0792	1.8495	2.0586
66	2.0792	1.8645	2.0589
67	2.0826	1.8808	2.0597
68	2.0826	1.8731	2.0605
69	2.0826	1.8885	2.0609
70	2.0826	1.9002	2.0613
71	2.0826	1.9092	2.0618
72	2.0826	1.8983	2.0628
73	2.0826	1.9152	2.0634
74	2.0826	1.9096	2.0647
75	2.0856	1.9016	2.0669
76	2.0856	1.9100	2.0686
77	2.0882	1.9464	2.0709
78	2.0883	1.9571	2.0732
79	2.0925	1.9596	2.0756
80	2.1036	1.9798	2.0789
81	2.1036	1.9853	2.0805
82	2.1036	1.9930	2.0823
83	2.1036	2.0001	2.0840
84	2.1036	2.0074	2.0858
85	2.1036	1.9973	2.0876
86	2.1039	2.0009	2.0898
87	2.1043	1.9987	2.0913
88	2.1043	2.0154	2.0924
89	2.1055	2.0000	2.0934
90	2.1055	2.0128	2.0944
91	2.1155	2.0052	2.0964
92	2.1155	2.0038	2.0980
93	2.1167	1.9980	2.0995
94	2.1167	1.9963	2.1013
95	2.1211	2.0133	2.1029
96	2.1211	2.0105	2.1051
97	2.1211	2.0107	2.1061
98	2.1211	2.0252	2.1073
99	2.1216	2.0087	2.1082
100	2.1216	2.0186	2.1092
101	2.1221	2.0265	2.1102
102	2.1221	2.0358	2.1107
103	2.1226	2.0238	2.1114
104	2.1226	2.0237	2.1120
105	2.1226	2.0172	2.1126
106	2.1226	2.0194	2.1131
107	2.1226	2.0075	2.1136
108	2.1226	2.0043	2.1138
109	2.1226	2.0028	2.1139
110	2.1226	2.0212	2.1142
111	2.1226	2.0326	2.1144
112	2.1226	2.0260	2.1145
113	2.1230	2.0191	2.1147
114	2.1230	2.0366	2.1148
115	2.1230	2.0133	2.1151
116	2.1230	2.0242	2.1154
117	2.1230	2.0203	2.1156
118	2.1230	2.0182	2.1159
119	2.1230	2.0278	2.1160
120	2.1230	2.0193	2.1161
121	2.1230	2.0314	2.1161
122	2.1230	2.0306	2.1163
123	2.1230	2.0178	2.1164
124	2.1230	2.0174	2.1165
125	2.1230	2.0177	2.1166
126	2.1230	2.0109	2.1168
127	2.1269	2.0196	2.1170
128	2.1269	2.0377	2.1171
129	2.1269	2.0224	2.1171
130	2.1275	2.0155	2.1174
131	2.1275	2.0182	2.1174
132	2.1275	1.9997	2.1176
133	2.1275	2.0197	2.1176
134	2.1275	2.0233	2.1177
135	2.1275	2.0164	2.1178
136	2.1275	2.0286	2.1180
137	2.1275	2.0112	2.1180
138	2.1275	2.0183	2.1180
139	2.1275	2.0221	2.1181
140	2.1275	2.0143	2.1181
141	2.1275	2.0140	2.1182
142	2.1275	2.0174	2.1182
143	2.1275	2.0108	2.1183
144	2.1275	2.0093	2.1183
145	2.1289	2.0085	2.1184
146	2.1289	2.0052	2.1185
147	2.1289	2.0071	2.1185
148	2.1289	2.0059	2.1186
149	2.1289	2.0204	2.1188
150	2.1289	2.0231	2.1190
151	2.1289	2.0092	2.1190
152	2.1289	2.0045	2.1190
153	2.1289	2.0165	2.1190
154	2.1289	2.0000	2.1191
155	2.1289	2.0158	2.1191
156	2.1289	2.0219	2.1191
157	2.1289	2.0085	2.1192
158	2.1289	2.0101	2.1192
159	2.1289	2.0146	2.1193
160	2.1289	2.0073	2.1195
161	2.1289	2.0136	2.1195
162	2.1289	2.0098	2.1195
163	2.1289	1.9870	2.1195
164	2.1289	1.9769	2.1195
165	2.1289	1.9703	2.1195
166	2.1289	1.9826	2.1195
167	2.1289	1.9938	2.1195
168	2.1289	1.9773	2.1195
169	2.1289	1.9886	2.1195
170	2.1289	1.9999	2.1195
171	2.1289	1.9865	2.1195
172	2.1289	1.9950	2.1195
173	2.1289	1.9962	2.1195
174	2.1289	1.9959	2.1195
175	2.1289	1.9989	2.1195
176	2.1289	2.0128	2.1195
177	2.1289	1.9931	2.1195
178	2.1289	1.9804	2.1195
179	2.1289	1.9740	2.1196
180	2.1289	1.9633	2.1196
181	2.1289	1.9696	2.1196
182	2.1289	1.9542	2.1196
183	2.1289	1.9815	2.1196
184	2.1289	1.9763	2.1196
185	2.1289	1.9860	2.1196
186	2.1289	2.0016	2.0053
187	2.1289	2.0021	2.0062
188	2.1289	1.9936	2.0077
189	2.1289	1.9564	2.0090
190	2.1289	1.8885	2.0108
191	2.1289	1.8443	2.0121
192	2.1289	1.7876	2.0134
193	2.1289	1.7399	2.0154
194	2.1289	1.7651	2.0172
195	2.1289	1.7705	2.0202
196	2.1289	1.8094	2.0246
