gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	0.1058	0.1028	0.1043
1	0.1068	0.1032	0.1048
2	0.1069	0.1036	0.1053
3	0.1083	0.1041	0.1059
4	0.1357	0.1047	0.1075
5	0.1357	0.1052	0.1089
6	0.1357	0.1059	0.1101
7	0.1357	0.1064	0.1113
8	1.0518	0.1104	0.1503
9	1.0518	0.1104	0.1516
10	1.0518	0.1223	0.2652
11	1.0522	0.1418	0.4517
12	1.0522	0.1668	0.6913
13	1.0522	0.1906	0.9324
14	1.0531	0.2411	1.0515
15	1.0537	0.3216	1.0519
16	1.0537	0.3786	1.0522
17	1.0544	0.4490	1.0525
18	1.0561	0.5338	1.0529
19	1.0573	0.5785	1.0532
20	1.0573	0.6079	1.0534
21	1.0573	0.6517	1.0535
22	1.0573	0.6944	1.0537
23	1.0573	0.7180	1.0538
24	1.0573	0.7108	1.0540
25	1.0573	0.6947	1.0541
26	1.0573	0.7021	1.0543
27	1.0573	0.6751	1.0544
28	1.0573	0.7006	1.0546
29	1.0584	0.7228	1.0548
30	1.0584	0.7201	1.0550
31	1.0584	0.7023	1.0551
32	1.0584	0.7046	1.0552
33	1.0584	0.7353	1.0554
34	1.0584	0.7098	1.0554
35	1.0584	0.6906	1.0555
36	1.0584	0.6999	1.0556
37	1.0584	0.7709	1.0558
38	1.0584	0.7409	1.0559
39	1.0587	0.7389	1.0561
40	1.0587	0.7673	1.0564
41	1.0587	0.7489	1.0565
42	1.0587	0.7432	1.0565
43	1.0587	0.7368	1.0566
44	1.0587	0.7058	1.0567
45	1.0587	0.7287	1.0568
46	1.0587	0.7082	1.0569
47	1.0587	0.7234	1.0570
48	1.0587	0.7222	1.0571
49	1.0587	0.7496	1.0572
50	1.0587	0.7448	1.0572
51	1.0594	0.7727	1.0573
52	1.0594	0.7916	1.0574
53	1.0594	0.7656	1.0575
54	1.0594	0.7577	1.0576
55	1.0594	0.7362	1.0576
56	1.0594	0.7250	1.0577
57	1.0594	0.7265	1.0578
58	1.0594	0.7078	1.0578
59	1.0594	0.7264	1.0579
60	1.0594	0.7413	1.0581
61	1.0594	0.7272	1.0582
62	1.0601	0.7305	1.0583
63	1.0601	0.7229	1.0585
64	1.0603	0.7514	1.0587
65	1.0603	0.7667	1.0588
66	1.0603	0.7363	1.0589
67	1.0603	0.7120	1.0591
68	1.0603	0.7206	1.0591
69	1.0603	0.7107	1.0592
70	1.0603	0.7173	1.0592
71	1.0603	0.7408	1.0593
72	1.0603	0.7342	1.0593
73	1.0603	0.7549	1.0594
74	1.0603	0.7598	1.0594
75	1.0603	0.7464	1.0595
76	1.0603	0.7458	1.0596
77	1.0603	0.7602	1.0596
