gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0053	2.0029	2.0044
1	2.0064	2.0033	2.0048
2	2.0082	2.0038	2.0054
3	2.0082	2.0043	2.0062
4	2.0089	2.0044	2.0072
5	2.0105	2.0029	2.0084
6	2.0167	1.9999	2.0101
7	2.0167	1.9484	2.0115
8	2.0207	1.9294	2.0130
9	2.0219	1.8960	2.0143
10	2.0306	1.8712	2.0158
11	2.0306	1.9070	2.0176
12	2.0306	1.8204	2.0198
13	2.0430	1.8602	2.0219
14	2.0430	1.8446	2.0236
15	2.0430	1.8532	2.0251
16	2.0430	1.8551	2.0260
17	2.0430	1.8848	2.0281
18	2.0430	1.8578	2.0287
19	2.0430	1.8958	2.0301
20	2.0430	1.8687	2.0309
21	2.0468	1.9036	2.0321
22	2.0468	1.8914	2.0327
23	2.0468	1.9005	2.0343
24	2.0468	1.8195	2.0355
25	2.0468	1.8392	2.0359
26	2.0468	1.8681	2.0365
27	2.0468	1.8410	2.0367
28	2.0468	1.8652	2.0372
29	2.0468	1.8510	2.0377
30	2.0468	1.8507	2.0380
31	2.0566	1.8722	2.0391
32	2.0566	1.8489	2.0400
33	2.0566	1.8777	2.0406
34	2.0566	1.8276	2.0410
35	2.0566	1.8485	2.0414
36	2.0566	1.8623	2.0423
37	2.0566	1.8685	2.0434
38	2.0566	1.8424	2.0440
39	2.0566	1.9008	2.0446
40	2.0566	1.8614	2.0449
41	2.0566	1.9166	2.0453
42	2.0566	1.9035	2.0454
43	2.0566	1.9074	2.0456
44	2.0594	1.9073	2.0467
45	2.0594	1.8934	2.0476
46	2.0594	1.9291	2.0494
47	2.0623	1.9083	2.0509
48	2.0642	1.8967	2.0526
49	2.0642	1.9505	2.0550
50	2.0642	1.9750	2.0561
51	2.0669	1.9742	2.0573
52	2.0669	1.9891	2.0583
53	2.0669	1.9971	2.0598
54	2.0675	1.9925	2.0601
55	2.0691	1.9908	2.0609
56	2.0691	1.9817	2.0614
57	2.0757	2.0020	2.0625
58	2.0757	2.0209	2.0642
59	2.0781	2.0093	2.0650
60	2.0781	2.0004	2.0659
61	2.0781	2.0100	2.0669
62	2.0781	2.0167	2.0682
63	2.0854	2.0218	2.0693
64	2.0854	2.0189	2.0701
65	2.0854	2.0075	2.0714
66	2.0854	2.0281	2.0731
67	2.0854	2.0183	2.0743
68	2.0854	2.0150	2.0746
69	2.0854	2.0050	2.0754
70	2.0854	2.0085	2.0761
71	2.0854	2.0040	2.0765
72	2.0854	2.0108	2.0767
73	2.0854	2.0117	2.0768
74	2.0854	2.0031	2.0770
75	2.0854	2.0146	2.0771
76	2.0854	2.0203	2.0772
77	2.0854	2.0167	2.0772
78	2.0854	2.0006	2.0772
79	2.0854	2.0065	2.0772
80	2.0854	1.9956	2.0772
81	2.0854	1.9914	2.0775
82	2.0854	1.9840	2.0776
83	2.0854	1.9695	2.0777
84	2.0854	1.9957	2.0779
85	2.0854	2.0020	2.0781
86	2.0854	1.9983	2.0785
87	2.0854	1.9987	2.0788
88	2.0854	2.0047	2.0793
89	2.0895	2.0137	2.0801
90	2.0928	1.9973	2.0806
91	2.0928	2.0068	2.0812
92	2.0928	2.0119	2.0818
93	2.0971	2.0167	2.0837
94	2.1012	2.0122	2.0845
95	2.1019	2.0200	2.0850
96	2.1019	2.0140	2.0864
97	2.1019	2.0082	2.0879
98	2.1019	2.0062	2.0884
99	2.1019	2.0140	2.0893
100	2.1019	2.0134	2.0896
101	2.1019	2.0175	2.0904
102	2.1019	2.0171	2.0913
103	2.1019	2.0011	2.0927
104	2.1019	2.0020	2.0937
105	2.1060	2.0032	2.0944
106	2.1060	2.0121	2.0949
107	2.1060	2.0166	2.0961
108	2.1060	2.0078	2.0969
109	2.1060	2.0010	2.0970
110	2.1060	2.0046	2.0971
111	2.1060	2.0013	2.0975
112	2.1060	1.9990	2.0976
113	2.1060	2.0109	2.0977
114	2.1060	2.0126	2.0979
115	2.1060	2.0197	2.0981
116	2.1060	2.0191	2.0981
117	2.1060	2.0081	2.0981
118	2.1060	2.0132	2.0981
119	2.1060	2.0177	2.0981
120	2.1060	2.0060	2.0982
121	2.1060	2.0122	2.0982
122	2.1060	1.9996	2.0982
123	2.1060	1.9857	2.0983
124	2.1060	1.9564	2.0983
125	2.1060	1.9848	2.0983
126	2.1060	1.9783	2.0984
127	2.1060	1.9832	2.0984
128	2.1060	1.9851	2.0984
129	2.1060	1.9978	2.0984
130	2.1060	2.0012	2.0985
131	2.1060	2.0091	2.0986
132	2.1060	2.0109	2.0987
133	2.1060	1.9950	2.0987
134	2.1060	1.9949	2.0987
135	2.1060	2.0131	2.0988
136	2.1060	2.0118	2.0949
137	2.1060	2.0111	2.0984
138	2.1060	2.0056	2.0986
139	2.1060	1.9955	2.0987
140	2.1060	1.9815	2.0987
141	2.1060	1.9921	2.0987
142	2.1060	1.9813	2.0988
143	2.1060	2.0068	2.0988
144	2.1060	1.9900	2.0990
145	2.1060	2.0089	2.0990
146	2.1060	2.0006	2.0059
147	2.1060	2.0032	2.0070
148	2.1060	1.9859	2.0089
149	2.1060	1.9587	2.0103
150	2.1060	1.9312	2.0116
151	2.1060	1.8894	2.0133
152	2.1060	1.8106	2.0141
153	2.1060	1.7654	2.0152
154	2.1060	1.7484	2.0168
155	2.1060	1.7936	2.0179
156	2.1060	1.8275	2.0192
