gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	4.0055	4.0028	4.0043
1	4.0094	4.0033	4.0049
2	4.0094	4.0038	4.0055
3	4.0098	4.0043	4.0065
4	4.0123	4.0013	4.0079
5	4.0123	4.0005	4.0090
6	4.0255	3.9967	4.0109
7	4.0255	3.9609	4.0133
8	4.0255	3.9428	4.0147
9	4.0255	3.9197	4.0163
10	4.0323	3.9206	4.0180
11	4.0323	3.9153	4.0195
12	4.0323	3.8929	4.0210
13	4.0326	3.8802	4.0223
14	4.0326	3.9030	4.0240
15	4.0362	3.8985	4.0256
16	4.0362	3.8813	4.0275
17	4.0362	3.8853	4.0286
18	4.0362	3.9004	4.0294
19	4.0362	3.8996	4.0305
20	4.0362	3.8729	4.0316
21	4.0406	3.8567	4.0328
22	4.0406	3.8660	4.0339
23	4.0448	3.8903	4.0349
24	4.0448	3.8838	4.0359
25	4.0448	3.8558	4.0364
26	4.0448	3.8613	4.0369
27	4.0448	3.8617	4.0375
28	4.0448	3.8686	4.0380
29	4.0448	3.9016	4.0387
30	4.0451	3.9164	4.0393
31	4.0451	3.8781	4.0396
32	4.0451	3.8765	4.0399
33	4.0532	3.8775	4.0406
34	4.0532	3.8792	4.0412
35	4.0532	3.8880	4.0416
36	4.0611	3.9076	4.0425
37	4.0611	3.9010	4.0436
38	4.0611	3.9410	4.0444
39	4.0611	3.9334	4.0454
40	4.0611	3.9382	4.0458
41	4.0611	3.9469	4.0470
42	4.0611	3.9398	4.0478
43	4.0611	3.9480	4.0482
44	4.0611	3.9859	4.0488
45	4.0624	3.9690	4.0505
46	4.0666	3.9794	4.0523
47	4.0666	3.9699	4.0534
48	4.0666	3.9834	4.0552
49	4.0666	4.0066	4.0565
50	4.0666	3.9979	4.0576
51	4.0666	4.0038	4.0588
52	4.0666	3.9935	4.0589
53	4.0666	3.9857	4.0598
54	4.0666	4.0008	4.0601
55	4.0666	3.9765	4.0604
56	4.0666	3.9936	4.0608
57	4.0666	3.9876	4.0614
58	4.0666	3.9968	4.0618
59	4.0704	3.9994	4.0626
60	4.0704	3.9862	4.0631
61	4.0704	3.9773	4.0635
62	4.0721	3.9692	4.0643
63	4.0721	3.9719	4.0644
64	4.0721	3.9816	4.0648
65	4.0721	4.0005	4.0653
66	4.0721	4.0013	4.0656
67	4.0743	4.0057	4.0660
68	4.0743	3.9924	4.0663
69	4.0743	3.9953	4.0670
70	4.0743	3.9804	4.0672
71	4.0743	3.9880	4.0679
72	4.0763	3.9824	4.0688
73	4.0763	3.9994	4.0693
74	4.0763	3.9928	4.0699
75	4.0763	3.9940	4.0704
76	4.0767	3.9963	4.0708
77	4.0767	3.9958	4.0710
78	4.0767	4.0072	4.0712
79	4.0767	4.0111	4.0714
80	4.0767	4.0170	4.0715
81	4.0767	4.0162	4.0719
82	4.0767	3.9931	4.0720
83	4.0767	3.9970	4.0721
84	4.0767	4.0043	4.0724
85	4.0767	4.0119	4.0724
86	4.0767	4.0021	4.0728
87	4.0767	4.0119	4.0729
88	4.0767	4.0163	4.0732
89	4.0767	4.0203	4.0734
90	4.0767	4.0151	4.0734
91	4.0767	4.0044	4.0735
92	4.0767	4.0098	4.0735
93	4.0769	4.0037	4.0736
94	4.0769	3.9925	4.0737
95	4.0769	3.9727	4.0737
96	4.0769	3.9869	4.0737
97	4.0769	3.9907	4.0738
98	4.0769	4.0002	4.0738
99	4.0769	4.0022	4.0739
100	4.0769	3.9967	4.0739
101	4.0769	4.0025	4.0739
102	4.0769	4.0047	4.0739
103	4.0769	3.9953	4.0740
104	4.0769	4.0111	4.0740
105	4.0769	4.0182	4.0740
106	4.0769	4.0100	4.0740
107	4.0769	3.9953	4.0740
108	4.0769	4.0133	4.0740
109	4.0769	4.0098	4.0740
110	4.0769	3.9963	4.0741
111	4.0769	3.9769	4.0741
112	4.0769	3.9932	4.0741
113	4.0769	3.9798	4.0741
114	4.0769	3.9993	4.0741
115	4.0769	3.9674	4.0741
116	4.0769	3.9930	4.0741
117	4.0769	4.0079	4.0741
118	4.0769	3.9981	4.0741
119	4.0769	3.9889	4.0742
120	4.0769	3.9835	4.0742
121	4.0769	4.0114	4.0742
122	4.0769	4.0000	4.0742
123	4.0769	4.0030	4.0742
124	4.0769	4.0096	4.0742
125	4.0769	4.0046	4.0742
126	4.0769	3.9714	4.0742
127	4.0769	3.9686	4.0743
128	4.0769	3.9179	4.0743
129	4.0769	3.9693	4.0743
130	4.0769	3.9727	4.0743
131	4.0769	4.0038	4.0744
132	4.0769	3.9989	4.0744
133	4.0771	3.9919	4.0745
134	4.0771	4.0085	4.0746
135	4.0771	4.0023	4.0747
136	4.0787	4.0122	4.0748
137	4.0787	4.0093	4.0750
138	4.0787	4.0103	4.0750
139	4.0787	4.0130	4.0751
140	4.0787	4.0008	4.0752
141	4.0787	4.0145	4.0753
142	4.0787	4.0153	4.0754
143	4.0787	3.9956	4.0755
144	4.0787	3.9967	4.0756
145	4.0787	4.0065	4.0756
146	4.0787	4.0137	4.0757
147	4.0787	4.0110	4.0757
148	4.0787	3.9979	4.0757
149	4.0787	4.0090	4.0757
150	4.0787	4.0027	4.0757
151	4.0787	4.0166	4.0758
152	4.0787	4.0094	4.0758
153	4.0787	3.9936	4.0758
154	4.0787	3.9936	4.0758
155	4.0787	3.9906	4.0758
156	4.0787	3.9729	4.0758
157	4.0787	3.9833	4.0758
158	4.0787	3.9790	4.0758
159	4.0787	4.0015	4.0759
160	4.0787	4.0126	4.0759
161	4.0787	4.0063	4.0760
162	4.0787	4.0082	4.0760
163	4.0787	4.0137	4.0760
164	4.0787	3.9918	4.0760
165	4.0787	4.0249	4.0761
166	4.0787	4.0158	4.0761
167	4.0787	4.0068	4.0761
168	4.0787	4.0021	4.0762
169	4.0787	3.9891	4.0762
170	4.0787	3.9650	4.0762
171	4.0787	3.9932	4.0762
172	4.0787	3.9850	4.0763
173	4.0787	3.9975	4.0764
174	4.0787	3.9959	4.0764
175	4.0787	4.0091	4.0765
176	4.0787	4.0195	4.0765
177	4.0787	4.0060	4.0765
178	4.0787	4.0042	4.0765
179	4.0787	4.0105	4.0765
180	4.0787	4.0081	4.0765
181	4.0787	4.0034	4.0765
182	4.0787	4.0053	4.0765
183	4.0787	4.0112	4.0766
184	4.0787	4.0035	4.0766
185	4.0787	4.0033	4.0766
186	4.0787	3.9982	4.0766
187	4.0787	4.0037	4.0766
188	4.0787	4.0180	4.0766
189	4.0787	4.0084	4.0766
190	4.0787	4.0071	4.0766
191	4.0787	3.9893	4.0766
192	4.0787	3.9860	4.0766
193	4.0787	3.9913	4.0766
194	4.0787	4.0063	4.0766
195	4.0787	4.0144	4.0766
196	4.0787	4.0149	4.0766
197	4.0787	4.0054	4.0766
198	4.0787	4.0076	4.0767
199	4.0787	4.0089	4.0767
