gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	3.2980	3.0244	3.1775
1	3.2980	3.0669	3.2164
2	3.3168	3.1034	3.2498
3	3.3406	3.1371	3.2821
4	3.3914	3.1721	3.3125
5	3.4092	3.1971	3.3356
6	3.4092	3.2166	3.3541
7	3.4092	3.2240	3.3674
8	3.4153	3.2363	3.3779
9	3.4254	3.2379	3.3914
10	3.4333	3.2362	3.4022
11	3.4454	3.2447	3.4085
12	3.4484	3.2381	3.4167
13	3.4485	3.2631	3.4228
14	3.4485	3.2808	3.4323
15	3.4515	3.2789	3.4378
16	3.4549	3.2674	3.4406
17	3.4682	3.2729	3.4448
18	3.4682	3.2775	3.4498
19	3.4729	3.2759	3.4567
20	3.4729	3.2793	3.4620
21	3.4752	3.3056	3.4670
22	3.4752	3.3128	3.4691
23	3.4754	3.3221	3.4705
24	3.4754	3.3116	3.4717
25	3.4754	3.2996	3.4726
26	3.4754	3.3042	3.4730
27	3.4754	3.3214	3.4733
28	3.4779	3.3226	3.4740
29	3.4780	3.3186	3.4748
30	3.4797	3.3352	3.4756
31	3.4806	3.3410	3.4764
32	3.4810	3.3479	3.4774
33	3.4810	3.3583	3.4784
34	3.4810	3.3530	3.4793
35	3.4816	3.3702	3.4800
36	3.4847	3.3447	3.4807
37	3.4847	3.3572	3.4814
38	3.4862	3.3421	3.4823
39	3.4862	3.3402	3.4833
40	3.4862	3.3322	3.4841
41	3.4863	3.3125	3.4846
42	3.4863	3.3182	3.4849
43	3.4863	3.3031	3.4851
44	3.4867	3.2908	3.4854
45	3.4867	3.3080	3.4856
46	3.4867	3.3172	3.4857
47	3.4867	3.3105	3.4859
48	3.4867	3.3173	3.4861
49	3.4874	3.3403	3.4862
50	3.4874	3.3300	3.4864
51	3.4938	3.3140	3.4867
52	3.4938	3.3136	3.4870
53	3.4938	3.3182	3.4875
54	3.4944	3.3276	3.4881
55	3.4944	3.3265	3.4894
56	3.4944	3.3409	3.4913
57	3.4962	3.3546	3.4926
58	3.4962	3.3541	3.4936
59	3.4962	3.3708	3.4947
60	3.4962	3.3449	3.4950
61	3.4977	3.3232	3.4952
62	3.4977	3.3296	3.4954
63	3.4997	3.3297	3.4957
64	3.5094	3.3170	3.4961
65	3.5094	3.3201	3.4968
66	3.5094	3.3075	3.4976
67	3.5117	3.3185	3.4993
68	3.5117	3.3260	3.5023
69	3.5117	3.3355	3.5058
70	3.5117	3.3524	3.5070
71	3.5117	3.3725	3.5079
72	3.5117	3.3553	3.5088
73	3.5117	3.3561	3.5095
74	3.5128	3.3476	3.5098
75	3.5132	3.3678	3.5106
76	3.5142	3.3512	3.5112
77	3.5142	3.3459	3.5121
78	3.5154	3.3650	3.5128
79	3.5168	3.3701	3.5134
80	3.5168	3.3641	3.5137
81	3.5168	3.3691	3.5143
82	3.5168	3.3377	3.5149
83	3.5168	3.3413	3.5152
84	3.5168	3.3264	3.5152
85	3.5179	3.3330	3.5155
86	3.5179	3.3270	3.5156
87	3.5179	3.3355	3.5158
88	3.5184	3.3260	3.5159
89	3.5184	3.3341	3.5160
90	3.5184	3.3463	3.5161
91	3.5192	3.3475	3.5162
92	3.5192	3.3435	3.5163
93	3.5192	3.3319	3.5165
94	3.5192	3.3021	3.5168
95	3.5192	3.3279	3.5169
96	3.5192	3.3309	3.5169
97	3.5192	3.3398	3.5170
98	3.5192	3.3245	3.5171
99	3.5192	3.3193	3.5172
100	3.5192	3.3189	3.5172
101	3.5192	3.3100	3.5172
102	3.5192	3.3005	3.5172
103	3.5192	3.3050	3.5172
104	3.5192	3.3179	3.5173
105	3.5192	3.3110	3.5173
106	3.5192	3.2994	3.5173
107	3.5196	3.2936	3.5174
108	3.5203	3.3002	3.5175
109	3.5203	3.2919	3.5175
110	3.5203	3.3226	3.5175
111	3.5203	3.3140	3.5175
112	3.5203	3.3200	3.5176
113	3.5203	3.3197	3.5177
114	3.5203	3.3166	3.5177
115	3.5203	3.3098	3.5177
116	3.5203	3.3246	3.5177
117	3.5203	3.3221	3.5178
118	3.5203	3.3244	3.5178
119	3.5203	3.3259	3.5178
120	3.5203	3.3190	3.5179
121	3.5203	3.3253	3.5179
122	3.5203	3.3169	3.5180
123	3.5203	3.3297	3.5180
124	3.5203	3.0318	3.5180
125	3.5203	3.1244	3.5180
126	3.5203	3.1846	3.5180
127	3.5203	3.2413	3.5180
128	3.5203	3.2730	3.5180
129	3.5203	3.2955	3.5180
130	3.5203	3.3173	3.5180
131	3.5203	3.3115	3.5180
132	3.5203	3.3389	3.5180
133	3.5203	3.3364	3.5180
134	3.5203	3.3099	3.5180
135	3.5203	3.3192	3.5180
136	3.5203	3.2812	3.5180
137	3.5203	3.3130	3.5180
138	3.5203	3.3295	3.5180
139	3.5203	3.0354	3.5078
140	3.5203	3.1169	3.5180
141	3.5203	3.1763	3.5180
142	3.5203	3.2406	3.5180
143	3.5203	3.2870	3.5180
144	3.5203	3.2966	3.5180
145	3.5203	3.3119	3.5180
146	3.5203	3.3144	3.5180
147	3.5203	3.3433	3.5180
148	3.5203	3.3290	3.5180
149	3.5203	2.9865	3.1592
150	3.5203	3.0450	3.2165
151	3.5203	3.1034	3.2737
152	3.5203	3.1412	3.2959
153	3.5203	3.1756	3.3538
154	3.5203	3.1978	3.3908
155	3.5203	3.2120	3.4258
156	3.5203	3.2425	3.4542
157	3.5203	3.2622	3.4654
158	3.5203	3.2790	3.4748
159	3.5203	3.2885	3.4819
