gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.6325	2.5099	2.5800
1	2.6381	2.5300	2.5990
2	2.6754	2.5507	2.6180
3	2.6754	2.5682	2.6354
4	2.6768	2.5832	2.6476
5	2.6847	2.5926	2.6591
6	2.6931	2.5999	2.6696
7	2.6965	2.6052	2.6776
8	2.7059	2.6110	2.6845
9	2.7059	2.6195	2.6878
10	2.7104	2.6252	2.6914
11	2.7104	2.6266	2.6938
12	2.7112	2.6290	2.6970
13	2.7163	2.6288	2.7000
14	2.7163	2.6333	2.7027
15	2.7233	2.6317	2.7063
16	2.7233	2.6403	2.7100
17	2.7245	2.6366	2.7135
18	2.7245	2.6371	2.7153
19	2.7270	2.6357	2.7171
20	2.7270	2.6346	2.7191
21	2.7304	2.6368	2.7203
22	2.7304	2.6334	2.7208
23	2.7304	2.6426	2.7222
24	2.7389	2.6492	2.7242
25	2.7389	2.6479	2.7261
26	2.7389	2.6614	2.7274
27	2.7410	2.6658	2.7291
28	2.7410	2.6551	2.7330
29	2.7462	2.6567	2.7354
30	2.7462	2.6661	2.7374
31	2.7471	2.6770	2.7386
32	2.7471	2.6710	2.7398
33	2.7471	2.6675	2.7407
34	2.7488	2.6760	2.7420
35	2.7510	2.6769	2.7431
36	2.7539	2.6712	2.7451
37	2.7539	2.6761	2.7461
38	2.7544	2.6825	2.7481
39	2.7544	2.6749	2.7500
40	2.7544	2.6703	2.7514
41	2.7551	2.6896	2.7522
42	2.7555	2.6781	2.7530
43	2.7569	2.6738	2.7536
44	2.7569	2.6757	2.7542
45	2.7577	2.6711	2.7553
46	2.7591	2.6836	2.7560
47	2.7591	2.6809	2.7567
48	2.7591	2.6825	2.7572
49	2.7601	2.6766	2.7577
50	2.7621	2.6747	2.7585
51	2.7621	2.6889	2.7591
52	2.7681	2.6975	2.7602
53	2.7719	2.7032	2.7615
54	2.7719	2.6921	2.7628
55	2.7788	2.6972	2.7644
56	2.7807	2.6980	2.7681
57	2.7822	2.7068	2.7738
58	2.7822	2.7030	2.7771
59	2.7822	2.7064	2.7782
60	2.7822	2.7087	2.7793
61	2.7822	2.6970	2.7802
62	2.7822	2.7070	2.7807
63	2.7827	2.6980	2.7810
64	2.7836	2.7036	2.7813
65	2.7836	2.7013	2.7816
66	2.7836	2.6960	2.7819
67	2.7837	2.6987	2.7823
68	2.7837	2.6952	2.7827
69	2.7851	2.6986	2.7830
70	2.7851	2.6933	2.7833
71	2.7851	2.6976	2.7836
72	2.7856	2.6786	2.7838
73	2.7856	2.6800	2.7839
74	2.7856	2.6759	2.7839
75	2.7856	2.6883	2.7840
76	2.7856	2.6799	2.7841
77	2.7861	2.6665	2.7842
78	2.7884	2.6721	2.7844
79	2.7884	2.6730	2.7845
80	2.7884	2.6651	2.7847
81	2.7884	2.6785	2.7851
82	2.7884	2.6727	2.7853
83	2.7884	2.6714	2.7853
84	2.7884	2.6705	2.7854
85	2.7884	2.6727	2.7855
86	2.7884	2.6584	2.7856
87	2.7884	2.6733	2.7857
88	2.7889	2.6594	2.7858
89	2.7889	2.6724	2.7859
90	2.7889	2.6693	2.7859
91	2.7889	2.6612	2.7860
92	2.7889	2.6563	2.7861
93	2.7889	2.6709	2.7861
94	2.7889	2.6768	2.7861
95	2.7889	2.6724	2.7862
96	2.7889	2.6739	2.7864
97	2.7889	2.6704	2.7864
98	2.7889	2.6639	2.7865
99	2.7889	2.6618	2.7865
100	2.7889	2.6419	2.7865
101	2.7889	2.6498	2.7866
102	2.7889	2.6500	2.7866
103	2.7889	2.6598	2.7867
104	2.7889	2.5222	2.7867
105	2.7889	2.5592	2.7867
106	2.7889	2.5927	2.7867
107	2.7889	2.6065	2.7867
108	2.7890	2.6221	2.7869
109	2.7890	2.6201	2.7870
110	2.7890	2.6427	2.7870
111	2.7890	2.6463	2.7871
112	2.7890	2.6464	2.7871
113	2.7890	2.6388	2.7871
114	2.7890	2.6361	2.7872
115	2.7890	2.6418	2.7872
116	2.7890	2.6432	2.7872
117	2.7890	2.6482	2.7873
118	2.7890	2.6556	2.7873
119	2.7890	2.6544	2.7873
120	2.7890	2.6624	2.7873
121	2.7890	2.6656	2.7874
122	2.7890	2.6686	2.7874
123	2.7890	2.6696	2.7874
124	2.7890	2.5182	2.7874
125	2.7890	2.5620	2.7874
126	2.7890	2.5866	2.7874
127	2.7890	2.6170	2.7874
128	2.7890	2.6337	2.7874
129	2.7890	2.6454	2.7874
130	2.7890	2.6578	2.7874
131	2.7890	2.6641	2.7874
132	2.7890	2.6582	2.7874
133	2.7890	2.6552	2.7874
134	2.7890	2.6581	2.7874
135	2.7890	2.6572	2.7874
136	2.7890	2.6582	2.7874
137	2.7890	2.6589	2.7874
138	2.7890	2.6567	2.7874
139	2.7890	2.5252	2.7848
140	2.7890	2.5726	2.7874
141	2.7890	2.5908	2.7874
142	2.7890	2.6183	2.7874
143	2.7890	2.6355	2.7874
144	2.7890	2.6442	2.7874
145	2.7890	2.6453	2.7874
146	2.7890	2.6509	2.7874
147	2.7890	2.6501	2.7874
148	2.7890	2.6553	2.7874
149	2.7890	2.4949	2.5889
150	2.7890	2.5218	2.6135
151	2.7890	2.5436	2.6283
152	2.7890	2.5637	2.6530
153	2.7890	2.5831	2.6885
154	2.7890	2.5894	2.7118
155	2.7890	2.6052	2.7301
156	2.7890	2.6184	2.7377
157	2.7890	2.6183	2.7437
158	2.7890	2.6256	2.7502
159	2.7890	2.6323	2.7584
