gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0066	2.0028	2.0043
1	2.0066	2.0032	2.0047
2	2.0079	2.0037	2.0053
3	2.0089	2.0043	2.0063
4	2.0106	2.0050	2.0076
5	2.0106	1.9992	2.0086
6	2.0144	1.9965	2.0101
7	2.0151	1.9592	2.0117
8	2.0165	1.9575	2.0123
9	2.0182	1.9425	2.0137
10	2.0196	1.9408	2.0152
11	2.0534	1.9538	2.0168
12	2.0534	1.9482	2.0199
13	2.0534	1.9672	2.0230
14	2.0708	1.9612	2.0262
15	2.0708	1.9514	2.0305
16	2.0708	1.9445	2.0359
17	2.0800	1.9230	2.0417
18	2.0800	1.9088	2.0459
19	2.0897	1.9163	2.0530
20	2.0986	1.9013	2.0579
21	2.0986	1.9013	2.0622
22	2.1201	1.9060	2.0684
23	2.1201	1.8801	2.0727
24	2.1201	1.9153	2.0753
25	2.1201	1.9423	2.0824
26	2.1201	1.9396	2.0862
27	2.1201	1.9441	2.0891
28	2.1201	1.9406	2.0900
29	2.1201	1.9447	2.0913
30	2.1201	1.9540	2.0935
31	2.1201	1.9352	2.0945
32	2.1201	1.9446	2.0960
33	2.1269	1.9510	2.0982
34	2.1331	1.9542	2.1010
35	2.1421	1.9661	2.1050
36	2.1421	1.9617	2.1076
37	2.1421	1.9686	2.1112
38	2.1421	1.9802	2.1145
39	2.1593	1.9845	2.1202
40	2.1593	1.9684	2.1235
41	2.1593	1.9851	2.1249
42	2.1593	1.9859	2.1276
43	2.1593	1.9604	2.1297
44	2.1593	1.9701	2.1324
45	2.1593	1.9644	2.1335
46	2.1593	1.9904	2.1349
47	2.1593	1.9809	2.1353
48	2.1593	1.9683	2.1360
49	2.1642	1.9777	2.1379
50	2.1642	1.9829	2.1389
51	2.1642	1.9679	2.1396
52	2.1642	1.9941	2.1408
53	2.1642	1.9819	2.1427
54	2.1945	1.9939	2.1458
55	2.1945	1.9907	2.1483
56	2.1945	1.9947	2.1497
57	2.1945	2.0142	2.1519
58	2.1945	2.0057	2.1538
59	2.1945	2.0041	2.1546
60	2.1945	2.0099	2.1548
61	2.2055	2.0051	2.1575
62	2.2055	2.0006	2.1599
63	2.2055	2.0124	2.1648
