gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.4047	2.4028	2.4040
1	2.4066	2.4032	2.4044
2	2.4075	2.4036	2.4048
3	2.4083	2.4041	2.4056
4	2.4100	2.4046	2.4068
5	2.4118	2.4045	2.4081
6	2.4146	2.4009	2.4091
7	2.4146	2.3881	2.4101
8	2.4161	2.3953	2.4115
9	2.4179	2.3684	2.4125
10	2.4204	2.3796	2.4139
11	2.4204	2.3686	2.4147
12	2.4217	2.3743	2.4160
13	2.4232	2.3507	2.4173
14	2.4232	2.3623	2.4183
15	2.4304	2.3577	2.4192
16	2.4304	2.3674	2.4200
17	2.4304	2.3657	2.4212
18	2.4304	2.3452	2.4223
19	2.4304	2.3537	2.4229
20	2.4338	2.3277	2.4244
21	2.4338	2.3520	2.4253
22	2.4344	2.3598	2.4260
23	2.4344	2.3590	2.4276
24	2.4468	2.3533	2.4288
25	2.4468	2.3243	2.4297
26	2.4468	2.3479	2.4306
27	2.4468	2.3505	2.4316
28	2.4468	2.3389	2.4322
29	2.4468	2.3562	2.4329
30	2.4553	2.3414	2.4337
31	2.4553	2.3590	2.4340
32	2.4553	2.3517	2.4345
33	2.4553	2.3582	2.4355
34	2.4553	2.3516	2.4359
35	2.4553	2.3472	2.4361
36	2.4553	2.3510	2.4364
37	2.4553	2.3732	2.4366
38	2.4553	2.3541	2.4371
39	2.4553	2.3564	2.4377
40	2.4553	2.3500	2.4380
41	2.4553	2.3561	2.4381
42	2.4553	2.3401	2.4381
43	2.4553	2.3520	2.4391
44	2.4553	2.3403	2.4392
45	2.4553	2.3409	2.4399
46	2.4553	2.4064	2.4399
47	2.4553	2.3892	2.4399
48	2.4553	2.3836	2.4401
49	2.4553	2.3699	2.4407
50	2.4553	2.3657	2.4411
51	2.4553	2.3580	2.4418
52	2.4553	2.3658	2.4426
53	2.4553	2.3608	2.4434
54	2.4590	2.3668	2.4443
55	2.4590	2.3468	2.4448
56	2.4590	2.3574	2.4452
57	2.4590	2.3606	2.4462
58	2.4590	2.3759	2.4471
59	2.4590	2.3592	2.4485
60	2.4590	2.3546	2.4492
61	2.4628	2.3681	2.4501
62	2.4632	2.3485	2.4515
63	2.4632	2.3608	2.4522
64	2.4655	2.3674	2.4533
65	2.4721	2.3833	2.4547
66	2.4721	2.3681	2.4554
67	2.4721	2.3695	2.4561
68	2.4721	2.3739	2.4572
69	2.4721	2.3651	2.4586
70	2.4721	2.3704	2.4602
71	2.4721	2.3583	2.4605
72	2.4721	2.3757	2.4613
73	2.4721	2.3733	2.4620
74	2.4721	2.3910	2.4625
75	2.4726	2.3854	2.4631
76	2.4726	2.3893	2.4635
77	2.4726	2.3961	2.4646
78	2.4735	2.3828	2.4653
79	2.4735	2.3811	2.4661
80	2.4735	2.3602	2.4670
81	2.4735	2.3842	2.4675
82	2.4737	2.3805	2.4681
83	2.4754	2.3945	2.4690
84	2.4754	2.3849	2.4697
85	2.4762	2.3997	2.4704
86	2.4892	2.3898	2.4713
87	2.4892	2.3998	2.4722
88	2.4892	2.3962	2.4732
89	2.4892	2.4013	2.4740
90	2.4892	2.3974	2.4756
91	2.4970	2.3922	2.4777
92	2.4970	2.4106	2.4794
93	2.4972	2.4136	2.4822
94	2.4972	2.4137	2.4856
95	2.4972	2.4062	2.4874
96	2.4972	2.4157	2.4885
97	2.4992	2.4191	2.4892
98	2.4992	2.4211	2.4906
99	2.5064	2.4238	2.4921
100	2.5083	2.4326	2.4932
101	2.5083	2.4343	2.4944
102	2.5111	2.4405	2.4961
103	2.5111	2.4395	2.4972
104	2.5111	2.4390	2.4989
105	2.5111	2.4401	2.5005
106	2.5111	2.4365	2.5008
107	2.5111	2.4280	2.5012
108	2.5111	2.4350	2.5018
109	2.5111	2.4388	2.5021
110	2.5111	2.4342	2.5025
111	2.5111	2.4319	2.5026
112	2.5115	2.4333	2.5031
113	2.5115	2.4305	2.5035
114	2.5115	2.4333	2.5036
115	2.5115	2.4330	2.5039
116	2.5115	2.4249	2.5041
117	2.5115	2.4243	2.5042
118	2.5115	2.4300	2.5046
119	2.5115	2.4346	2.5047
120	2.5115	2.4300	2.5049
121	2.5115	2.4319	2.5052
122	2.5115	2.4371	2.5054
123	2.5115	2.4352	2.5057
124	2.5115	2.4336	2.5060
125	2.5115	2.4352	2.5063
126	2.5115	2.4319	2.5066
127	2.5115	2.4348	2.5068
128	2.5115	2.4131	2.5068
129	2.5115	2.4004	2.5068
130	2.5115	2.3998	2.5068
131	2.5115	2.4012	2.5068
132	2.5115	2.3928	2.5070
133	2.5119	2.4061	2.5073
134	2.5119	2.4235	2.5075
135	2.5119	2.4238	2.5075
136	2.5119	2.4241	2.5075
137	2.5119	2.4191	2.5075
138	2.5119	2.4300	2.5075
139	2.5119	2.4284	2.5075
140	2.5119	2.4317	2.5077
141	2.5119	2.4330	2.5077
142	2.5119	2.4376	2.5078
143	2.5119	2.4313	2.5078
144	2.5119	2.4401	2.5078
145	2.5119	2.4344	2.5079
146	2.5119	2.4375	2.5079
147	2.5119	2.4339	2.5079
148	2.5119	2.4406	2.5079
149	2.5119	2.4132	2.5079
150	2.5119	2.4118	2.5079
151	2.5119	2.4074	2.5079
152	2.5119	2.4061	2.5079
153	2.5119	2.4046	2.5079
